100955,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,HUMMUS BERENJENA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100956,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,HUMMUS REMOLACHA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100957,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,MASA COOKIES,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100958,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,MERLUZA TEMPURA (MERLUCITOS),0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100959,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,MORRALLA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100960,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,MOSTAZA ANTIGUA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100961,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,PARMENTIER DE ÑORA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100963,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,PESCADO ARROZ A BANDA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100964,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,PESCADO ARROZ OZ,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100966,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,PIMIENTO RELLENO,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100969,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA TOMATE Y ALBAHACA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100970,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,RELLENO PARA PIMIENTO,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100971,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALMORRETA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
